db_name,db_type,query_category,query,question
broker,bigquery,basic_join_date_group_order_limit,"SELECT c.sbCustCountry, COUNT(t.sbTxId) AS num_transactions, SUM(t.sbTxAmount) AS total_amount FROM broker.sbCustomer AS c JOIN broker.sbTransaction AS t ON c.sbCustId = t.sbTxCustId WHERE t.sbTxDateTime >= CURRENT_DATE - INTERVAL '30' DAY GROUP BY c.sbCustCountry ORDER BY total_amount DESC NULLS FIRST LIMIT 5;","What are the top 5 countries by total transaction amount in the past 30 days, inclusive of 30 days ago? Return the country name, number of transactions and total transaction amount."
broker,bigquery,basic_join_date_group_order_limit,"SELECT t.sbTxType, COUNT(DISTINCT t.sbTxCustId) AS num_customers, AVG(t.sbTxShares) AS avg_shares FROM broker.sbTransaction AS t WHERE t.sbTxDateTime BETWEEN '2023-01-01' AND '2023-03-31 23:59:59' GROUP BY t.sbTxType ORDER BY num_customers DESC NULLS FIRST LIMIT 3;","How many distinct customers made each type of transaction between Jan 1, 2023 and Mar 31, 2023 (inclusive of start and end dates)? Return the transaction type, number of distinct customers and average number of shares, for the top 3 transaction types by number of customers."
broker,bigquery,basic_join_group_order_limit,"SELECT tk.sbTickerSymbol, COUNT(tx.sbTxId) AS num_transactions, SUM(tx.sbTxAmount) AS total_amount FROM broker.sbTicker AS tk JOIN broker.sbTransaction AS tx ON tk.sbTickerId = tx.sbTxTickerId GROUP BY tk.sbTickerSymbol ORDER BY total_amount DESC NULLS FIRST LIMIT 10;","What are the top 10 ticker symbols by total transaction amount? Return the ticker symbol, number of transactions and total transaction amount."
broker,bigquery,basic_join_group_order_limit,"SELECT c.sbCustState, t.sbTickerType, COUNT(*) AS num_transactions FROM broker.sbTransaction AS tx JOIN broker.sbCustomer AS c ON tx.sbTxCustId = c.sbCustId JOIN broker.sbTicker AS t ON tx.sbTxTickerId = t.sbTickerId GROUP BY c.sbCustState, t.sbTickerType ORDER BY num_transactions DESC NULLS FIRST LIMIT 5;","What are the top 5 combinations of customer state and ticker type by number of transactions? Return the customer state, ticker type and number of transactions."
broker,bigquery,basic_join_distinct,SELECT DISTINCT c.sbCustId FROM broker.sbCustomer AS c JOIN broker.sbTransaction AS t ON c.sbCustId = t.sbTxCustId WHERE t.sbTxType = 'buy';,Return the distinct list of customer IDs who have made a 'buy' transaction.
broker,bigquery,basic_join_distinct,SELECT DISTINCT tk.sbTickerId FROM broker.sbTicker AS tk JOIN broker.sbDailyPrice AS dp ON tk.sbTickerId = dp.sbDpTickerId WHERE dp.sbDpDate >= '2023-04-01';,"Return the distinct list of ticker IDs that have daily price records on or after Apr 1, 2023."
broker,bigquery,basic_group_order_limit,"SELECT sbTxStatus, COUNT(*) AS num_transactions FROM broker.sbTransaction GROUP BY sbTxStatus ORDER BY num_transactions DESC NULLS FIRST LIMIT 3;",What are the top 3 transaction statuses by number of transactions? Return the status and number of transactions.
broker,bigquery,basic_group_order_limit,"SELECT sbCustCountry, COUNT(*) AS num_customers FROM broker.sbCustomer GROUP BY sbCustCountry ORDER BY num_customers DESC NULLS FIRST LIMIT 5;",What are the top 5 countries by number of customers? Return the country name and number of customers.
broker,bigquery,basic_left_join,"SELECT c.sbCustId, c.sbCustName FROM broker.sbCustomer AS c LEFT JOIN broker.sbTransaction AS t ON c.sbCustId = t.sbTxCustId WHERE t.sbTxCustId IS NULL;",Return the customer ID and name of customers who have not made any transactions.
broker,bigquery,basic_left_join,"SELECT tk.sbTickerId, tk.sbTickerSymbol FROM broker.sbTicker AS tk LEFT JOIN broker.sbDailyPrice AS dp ON tk.sbTickerId = dp.sbDpTickerId WHERE dp.sbDpTickerId IS NULL;",Return the ticker ID and symbol of tickers that do not have any daily price records.
car_dealership,bigquery,basic_join_date_group_order_limit,"SELECT c.first_name, c.last_name, COUNT(s.id) AS total_sales, SUM(s.sale_price) AS total_revenue FROM car_dealership.sales AS s JOIN car_dealership.salespersons AS c ON s.salesperson_id = c.id WHERE s.sale_date >= CURRENT_DATE - INTERVAL '3' MONTH GROUP BY c.first_name, c.last_name ORDER BY total_revenue DESC NULLS FIRST LIMIT 3;","Who were the top 3 sales representatives by total revenue in the past 3 months, inclusive of today's date? Return their first name, last name, total number of sales and total revenue. Note that revenue refers to the sum of sale_price in the sales table."
car_dealership,bigquery,basic_join_date_group_order_limit,"SELECT sp.first_name, sp.last_name, COUNT(s.id) AS total_sales, SUM(s.sale_price) AS total_revenue FROM car_dealership.sales AS s JOIN car_dealership.salespersons AS sp ON s.salesperson_id = sp.id WHERE s.sale_date >= CURRENT_DATE - INTERVAL '30' DAY GROUP BY sp.first_name, sp.last_name, sp.id ORDER BY total_sales DESC NULLS FIRST LIMIT 5;","Return the top 5 salespersons by number of sales in the past 30 days? Return their first and last name, total sales count and total revenue amount."
car_dealership,bigquery,basic_join_group_order_limit,"SELECT c.state, COUNT(DISTINCT s.customer_id) AS unique_customers, SUM(s.sale_price) AS total_revenue FROM car_dealership.sales AS s JOIN car_dealership.customers AS c ON s.customer_id = c.id GROUP BY c.state ORDER BY total_revenue DESC NULLS FIRST LIMIT 5;","Return the top 5 states by total revenue, showing the number of unique customers and total revenue (based on sale price) for each state."
car_dealership,bigquery,basic_join_group_order_limit,"SELECT c.make, c.model, COUNT(s.id) AS total_sales, SUM(s.sale_price) AS total_revenue FROM car_dealership.sales AS s JOIN car_dealership.cars AS c ON s.car_id = c.id GROUP BY c.make, c.model ORDER BY total_revenue DESC NULLS FIRST LIMIT 5;","What are the top 5 best selling car models by total revenue? Return the make, model, total number of sales and total revenue."
