question,query,db_name,query_category
"Which authors have written publications in both the domain ""Machine Learning"" and the domain ""Data Science""?","SELECT {author.name,author.aid} FROM author WHERE author.aid IN (   SELECT domain_author.aid   FROM domain_author   WHERE domain_author.did IN (     SELECT domain.did     FROM domain     WHERE domain.name IN ('Machine Learning', 'Data Science')   )   GROUP BY 1   HAVING COUNT(DISTINCT domain_author.did) = 2 );",academic,group_by
What is the average number of citations received by publications in each year?,"SELECT publication.year, AVG(publication.citation_num) AS average_citations FROM publication GROUP BY publication.year ORDER BY publication.year NULLS LAST;",academic,group_by
What is the total number of publications that cite each publication?,"WITH cited_pubs AS (SELECT cite.cited AS publication_id, COUNT(*) AS total_citations FROM cite GROUP BY cite.cited ORDER BY total_citations DESC NULLS LAST) SELECT COUNT(*) FROM cited_pubs WHERE total_citations > 0;",academic,group_by
What is the total number of publications published in each year?,"SELECT publication.year, COUNT(DISTINCT publication.pid) AS total_publications FROM publication GROUP BY publication.year ORDER BY publication.year;",academic,group_by
What is the average number of references cited by publications in each domain name?,"SELECT {domain.name,domain.did}, AVG(publication.reference_num) as average_references FROM domain_publication JOIN publication ON domain_publication.pid = publication.pid JOIN domain ON domain.did = domain_publication.did GROUP BY 1;",academic,group_by
What are the top 3 publications with the highest number of citations?,"SELECT publication.title, publication.citation_num FROM publication ORDER BY publication.citation_num DESC LIMIT 3;",academic,order_by
What is the title of the publication that has received the highest number of citations?,SELECT publication.title FROM publication ORDER BY publication.citation_num DESC NULLS LAST LIMIT 1;,academic,order_by
What are the titles of all publications ordered alphabetically?,SELECT DISTINCT publication.title  FROM publication  ORDER BY publication.title ASC NULLS LAST;,academic,order_by
"What are the top 3 titles of the publications that have the highest number of references cited, ordered by the number of references cited in descending order?","SELECT publication.title, publication.reference_num FROM publication ORDER BY publication.reference_num DESC LIMIT 3;",academic,order_by
What are the top 5 domains with the highest number of authors associated with them?,"SELECT d.name, COUNT(DISTINCT a.aid) as author_count FROM author a JOIN domain_author da ON a.aid = da.aid JOIN domain d ON da.did = d.did GROUP BY d.name ORDER BY author_count DESC, d.name LIMIT 5;",academic,order_by
What is the ratio of publications to authors in the database?,"SELECT    CAST(COUNT(DISTINCT publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT author.aid), 0) AS publication_to_author_ratio FROM    publication, author;",academic,ratio
How does the ratio of publications to keywords vary across different domains?,"SELECT domain_publication.did,         CAST(COUNT(DISTINCT domain_publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT domain_keyword.kid), 0) AS publication_to_keyword_ratio FROM domain_publication JOIN domain_keyword ON domain_publication.did = domain_keyword.did GROUP BY domain_publication.did ORDER BY publication_to_keyword_ratio DESC NULLS LAST;",academic,ratio
How does the ratio of authors to organizations differ by continent?,"SELECT organization.continent,         COUNT(DISTINCT author.aid)::float / NULLIF(COUNT(DISTINCT organization.oid), 0) AS ratio FROM author JOIN organization ON author.oid = organization.oid GROUP BY organization.continent ORDER BY ratio DESC NULLS LAST;",academic,ratio
How does the ratio of publications to journals change over the years? Return the annual numbers of publications and journals as well.,"SELECT    publication.year,    COUNT(DISTINCT publication.pid) AS num_publications,    COUNT(DISTINCT publication.jid) AS num_journals,    CAST(COUNT(DISTINCT publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT publication.jid), 0) AS ratio FROM    publication GROUP BY    publication.year ORDER BY    publication.year;",academic,ratio
What is the ratio of publications presented in conferences to publications published in journals?,"SELECT    CAST(COUNT(DISTINCT publication.cid) AS FLOAT) / NULLIF(COUNT(DISTINCT publication.jid), 0) AS ratio FROM    publication;",academic,ratio
"How many publications were presented at each conference, ordered by the number of publications in descending order? Give the names of the conferences and their corresponding number of publications.","SELECT conference.name, COUNT(publication.pid) AS num_publications FROM publication JOIN conference ON publication.cid=conference.cid GROUP BY conference.cid ORDER BY num_publications DESC NULLS LAST;",academic,table_join
"What is the total number of publications in each journal, ordered by the number of publications in descending order?","SELECT journal.name, COUNT(publication.pid) AS total_publications FROM publication JOIN journal ON publication.jid=journal.jid GROUP BY journal.name ORDER BY total_publications DESC NULLS LAST;",academic,table_join
How does the ratio of citations to publications vary across different domains?,"SELECT domain.name,         SUM(publication.citation_num)::float / NULLIF(COUNT(DISTINCT domain_publication.pid), 0) AS citation_to_publication_ratio FROM domain JOIN domain_publication ON domain.did = domain_publication.did JOIN publication ON domain_publication.pid = publication.pid GROUP BY domain.name ORDER BY citation_to_publication_ratio DESC NULLS LAST;",academic,table_join
Which author had the most publications in the year 2021?,"SELECT author.name, COUNT(publication.pid) AS publication_count FROM writes JOIN author ON writes.aid = author.aid JOIN publication ON writes.pid = publication.pid WHERE publication.year = 2021 GROUP BY author.name ORDER BY publication_count DESC NULLS LAST LIMIT 1; ",academic,table_join
What is the total number of publications presented in each conference?,"SELECT conference.name, COUNT(publication.pid) AS total_publications FROM publication JOIN conference ON publication.cid = conference.cid GROUP BY conference.name ORDER BY total_publications DESC;",academic,table_join
Which authors are not part of any organization?,SELECT DISTINCT name FROM author WHERE oid IS NULL,academic,where
"What are the names of the authors who have written publications in the domain ""Computer Science""?",SELECT DISTINCT author.name FROM author join writes ON author.aid = writes.aid join publication ON writes.pid = publication.pid join domain_publication ON publication.pid = domain_publication.pid join domain ON domain_publication.did = domain.did WHERE domain.name ilike '%computer%science%';,academic,where
"Which organizations have authors who have written publications in the domain ""Machine Learning""?",SELECT DISTINCT organization.name  FROM organization  JOIN author ON organization.oid = author.oid  JOIN writes ON author.aid = writes.aid  JOIN domain_publication ON writes.pid = domain_publication.pid  JOIN domain ON domain_publication.did = domain.did  WHERE domain.name = 'Machine Learning';,academic,where
Which authors belong to the same domain as Martin?,SELECT DISTINCT a2.name FROM author a1 JOIN domain_author da1 ON a1.aid = da1.aid JOIN domain_author da2 ON da1.did = da2.did JOIN author a2 ON da2.aid = a2.aid WHERE LOWER(a1.name) LIKE '%martin%';,academic,where
What are the publications written by authors from the 'Artificial Intelligence' domain and presented at conferences in the year 2020?,SELECT DISTINCT publication.title FROM domain JOIN domain_author ON domain.did = domain_author.did JOIN writes ON domain_author.aid = writes.aid JOIN publication ON writes.pid = publication.pid JOIN domain_conference ON domain.did = domain_conference.did WHERE domain.name = 'Artificial Intelligence' AND publication.year = 2020 AND publication.cid = domain_conference.cid;,academic,where
How many courses are offered in each semester?,"SELECT course_offering.semester, COUNT(DISTINCT course_offering.course_id) AS num_courses FROM course_offering GROUP BY course_offering.semester ORDER BY course_offering.semester;",advising,group_by
How many courses have a final exam and how many do not?,"SELECT    course_offering.has_final_exam,    COUNT(*) AS num_courses FROM    course_offering GROUP BY    course_offering.has_final_exam;",advising,group_by
What is the total number of students who found the instructor to be hilarious per course?,"SELECT course_tags_count.course_id, SUM(course_tags_count.hilarious) AS total_hilarious FROM course_tags_count GROUP BY course_tags_count.course_id;",advising,group_by
How many courses does each department offer?,"SELECT course.department, COUNT(DISTINCT course.course_id) AS num_courses FROM course GROUP BY course.department ORDER BY num_courses DESC NULLS LAST;",advising,group_by
What is the average clarity score for each instructor who taught a course before?,"SELECT instructor.name, AVG(comment_instructor.score) as average_score FROM comment_instructor JOIN instructor ON comment_instructor.instructor_id = instructor.instructor_id GROUP BY instructor.name ORDER BY average_score DESC NULLS LAST;",advising,group_by
"What is the total number of students enrolled in each course, ordered from highest to lowest?","SELECT course.course_id, SUM(course.num_enrolled) AS total_students FROM course GROUP BY course.course_id ORDER BY total_students DESC NULLS LAST;",advising,order_by
"Which course has the highest number of enrolled students, and what is the enrollment number?","SELECT course.name, course.num_enrolled FROM course ORDER BY course.num_enrolled DESC NULLS LAST LIMIT 1;",advising,order_by
"What is the total number of credits earned by each student, ordered from highest to lowest? Give the student id and the total number of credits.","SELECT student.student_id, student.total_credit FROM student ORDER BY student.total_credit DESC NULLS LAST;",advising,order_by
"What is the name of the instructor who has taught the most courses, and how many courses have they taught?","SELECT instructor.name, count(offering_instructor.offering_id) as num_courses FROM offering_instructor JOIN instructor ON offering_instructor.instructor_id = instructor.instructor_id GROUP BY instructor.name ORDER BY num_courses DESC LIMIT 1;",advising,order_by
