db_name,db_type,query_category,query,question,instructions,valid,err_msg
academic,bigquery,date_functions,"SELECT conference.name, COUNT(publication.pid) AS publication_count FROM academic.publication JOIN academic.conference ON publication.cid = conference.cid WHERE publication.year >= EXTRACT(YEAR FROM CURRENT_DATE) - 15 GROUP BY conference.name ORDER BY publication_count DESC NULLS FIRST LIMIT 1;",Which conference published the most publications in the last 15 years? Give the conference name and publication count.,,,
academic,bigquery,date_functions,SELECT COUNT(DISTINCT publication.pid) FROM academic.publication WHERE publication.year BETWEEN 2019 AND 2021;,How many publications were published between 2019 and 2021?,,,
academic,bigquery,date_functions,SELECT AVG(publication.citation_num) FROM academic.publication WHERE publication.year >= EXTRACT(YEAR FROM CURRENT_DATE) - 5;,What is the average number of citations received by publications in the last 5 years?,,,
academic,bigquery,date_functions,"SELECT DISTINCT author.name FROM academic.author JOIN academic.writes ON author.aid = writes.aid JOIN academic.publication ON writes.pid = publication.pid WHERE publication.year >= EXTRACT(YEAR FROM CURRENT_DATE) - 20;SELECT DISTINCT author.aid FROM academic.author JOIN academic.writes ON author.aid = writes.aid JOIN academic.publication ON writes.pid = publication.pid WHERE publication.year >= EXTRACT(YEAR FROM CURRENT_DATE) - 20;SELECT DISTINCT author.name, author.aid FROM academic.author JOIN academic.writes ON author.aid = writes.aid JOIN academic.publication ON writes.pid = publication.pid WHERE publication.year >= EXTRACT(YEAR FROM CURRENT_DATE) - 20;",Which authors have published papers in journals within the past 20 years?,,,
academic,bigquery,date_functions,SELECT MAX(YEAR) - MIN(YEAR) AS time_difference FROM academic.publication;,What's the difference in time between the first and last paper published?,,,
academic,bigquery,group_by,"SELECT author.name FROM academic.author WHERE author.aid IN (SELECT da1.aid FROM academic.domain_author da1 JOIN academic.domain d1 ON da1.did = d1.did JOIN academic.domain_author da2 ON da1.aid = da2.aid JOIN academic.domain d2 ON da2.did = d2.did WHERE d1.name = 'Machine Learning' AND d2.name = 'Data Science');SELECT DISTINCT author.aid FROM academic.author WHERE author.aid IN (SELECT domain_author.aid FROM academic.domain_author WHERE domain_author.did IN (SELECT domain.did FROM academic.domain WHERE domain.name IN ('Machine Learning', 'Data Science')) GROUP BY domain_author.aid HAVING COUNT(DISTINCT domain_author.did) = 2);SELECT author.name, author.aid FROM academic.author WHERE author.aid IN (SELECT da1.aid FROM academic.domain_author da1 JOIN academic.domain d1 ON da1.did = d1.did WHERE d1.name = 'Machine Learning') AND author.aid IN (SELECT da2.aid FROM academic.domain_author da2 JOIN academic.domain d2 ON da2.did = d2.did WHERE d2.name = 'Data Science');","Which authors have written publications in both the domain ""Machine Learning"" and the domain ""Data Science""?",,,
academic,bigquery,group_by,"SELECT author.name, SUM(publication.citation_num) AS total_citations FROM academic.author JOIN academic.writes ON author.aid = writes.aid JOIN academic.publication ON writes.pid = publication.pid GROUP BY author.name ORDER BY total_citations DESC;SELECT author.aid, SUM(publication.citation_num) AS total_citations FROM academic.author JOIN academic.writes ON author.aid = writes.aid JOIN academic.publication ON writes.pid = publication.pid GROUP BY author.aid ORDER BY total_citations DESC;SELECT author.name, author.aid, SUM(publication.citation_num) AS total_citations FROM academic.author JOIN academic.writes ON author.aid = writes.aid JOIN academic.publication ON writes.pid = publication.pid GROUP BY author.name, author.aid ORDER BY total_citations DESC;",What is the total number of citations received by each author?,,,
academic,bigquery,group_by,"SELECT publication.year, COUNT(DISTINCT publication.pid) AS total_publications FROM academic.publication GROUP BY publication.year ORDER BY publication.year NULLS LAST;",What is the total number of publications published in each year?,,,
academic,bigquery,group_by,"SELECT domain.name, AVG(publication.reference_num) AS average_references FROM academic.domain_publication JOIN academic.publication ON domain_publication.pid = publication.pid JOIN academic.domain ON domain.did = domain_publication.did GROUP BY domain.name;SELECT domain.did, AVG(publication.reference_num) AS average_references FROM academic.domain_publication JOIN academic.publication ON domain_publication.pid = publication.pid JOIN academic.domain ON domain.did = domain_publication.did GROUP BY domain.did;SELECT domain.name, domain.did, AVG(publication.reference_num) AS average_references FROM academic.domain_publication JOIN academic.publication ON domain_publication.pid = publication.pid JOIN academic.domain ON domain.did = domain_publication.did GROUP BY domain.name, domain.did;",What is the average number of references cited by publications in each domain name?,,,
academic,bigquery,group_by,"SELECT publication.year, AVG(publication.citation_num) AS average_citations FROM academic.publication GROUP BY publication.year ORDER BY publication.year NULLS LAST;",What is the average number of citations received by publications in each year?,,,
